"age","campaign_interest","vote_primary","vote_pres","right_track","ideology","govt_corrupt"
80,1,-1,-1,1,6,4
70,1,1,-1,2,99,3
58,1,1,-1,2,2,4
29,2,-1,-1,2,6,3
-9,1,8,-1,2,4,2
41,2,6,-1,2,4,3
35,2,-1,-1,2,99,1
36,2,-1,-1,2,4,2
34,3,-1,-1,2,99,2
53,1,-1,-1,1,99,4
52,2,-1,-1,2,3,4
24,1,1,-1,2,1,2
41,2,-1,-1,1,4,4
76,1,-1,-1,2,2,3
74,1,1,-1,2,2,4
79,2,1,-1,2,3,3
48,2,1,-1,2,1,3
62,1,8,-1,1,6,4
54,1,1,-1,2,99,2
71,1,-1,-1,2,99,3
40,2,-1,-1,2,2,2
36,1,-1,-1,1,6,2
48,2,3,-1,2,3,2
34,3,-1,-1,2,5,3
58,1,-1,-1,2,1,2
49,1,-1,-1,2,2,3
67,1,1,-1,2,4,4
57,2,-1,-1,2,5,2
29,2,-1,-1,2,6,1
37,1,5,-1,2,1,4
79,1,8,-1,1,7,3
33,1,5,-1,2,3,2
65,1,8,-1,1,7,2
55,2,-1,-1,1,6,3
68,1,1,-1,2,2,4
39,3,-1,-1,2,5,2
80,1,8,-1,1,6,3
50,2,-1,-1,2,4,3
57,1,-1,-1,2,7,4
76,1,-1,-1,1,6,4
71,2,-1,-1,1,5,2
58,1,1,-1,2,2,3
47,1,8,-1,1,5,3
43,2,-1,-1,1,99,3
22,1,8,-1,1,4,3
69,3,-1,-1,1,4,2
62,1,8,-1,1,6,4
73,1,8,2,1,6,2
32,1,8,-1,1,6,2
30,1,-1,-1,2,2,4
47,1,3,-1,2,4,4
35,3,-1,-1,2,7,2
66,2,-1,-1,2,6,4
42,1,-1,-1,2,2,4
25,3,5,-1,2,4,3
31,1,-1,-1,2,2,2
36,1,-1,2,2,99,2
63,1,1,-1,2,5,4
54,2,-1,-1,2,4,3
64,3,1,-1,2,99,2
